Geneid	Blood	1 hour	2 hours	4 hours	6 hours
PLK1	15.66666667	148	198.6666667	249.3333333	312.3333333
PLK2	40	460.6666667	749.6666667	695	676.6666667
PLK4	0.666666667	59.33333333	134	198.6666667	234.6666667
PLLP	12.33333333	100	266.3333333	310	412.6666667
PLOD2	2.666666667	289.3333333	1091.666667	1790.333333	1654
PLOD3	72	371.6666667	959	1072.333333	1571.333333
PLPP1	0.666666667	14.33333333	35	62.33333333	56.33333333
PLPP2	1.333333333	141.6666667	430.6666667	477	881
PLRG1	148.6666667	544.6666667	1510.666667	1872.333333	2491.666667
PLS1	4.666666667	233.3333333	806	1316.333333	1516
PLS3	7.333333333	1476	4405	7294.333333	7779.666667
PLSCR4	0.666666667	19.33333333	75.66666667	131.6666667	141
PLXNA1	29.66666667	779.6666667	2314.666667	2858	3578.333333
PLXNA3	108.6666667	496	1133.666667	1174	1642.333333
PLXNB1	10.66666667	116.6666667	305	249.3333333	451.6666667
PLXNB2	97.33333333	2822.333333	8632.666667	11453.66667	14017
PLXNB3	2	112.3333333	284.3333333	304	424.6666667
PLXND1	66	279	766	964	1411.666667
PMEPA1	1.333333333	172	594.6666667	903.3333333	1203.333333
PMVK	15	122.3333333	393.3333333	429.3333333	653
PNLIPRP3	0	12	34.66666667	46	39
PNMA2	0	25.66666667	136	177.6666667	171.3333333
PNO1	21	196.6666667	555.3333333	687.6666667	963
PNPLA4	6.666666667	53.33333333	124.6666667	177.6666667	213.6666667
PNPO	7.333333333	59.66666667	184.3333333	282	324
POFUT1	74.66666667	542.6666667	1910.666667	2824.333333	3388.666667
POLA1	17.33333333	66.66666667	185	294.3333333	308.3333333
POLD2	28.33333333	210.6666667	605.6666667	840.6666667	1065.333333
POLE2	1.333333333	13	35.66666667	57	71.66666667
POLE4	20.66666667	122.6666667	234.6666667	251	391
POLQ	2.666666667	36	84	114.6666667	130
POLR1A	46.66666667	424.6666667	1338.333333	1804.666667	2248.666667
POLR1B	32	212.3333333	616.3333333	889.3333333	1176.666667
POLR1C	11	117.6666667	335.3333333	376.6666667	600
POLR1E	13.66666667	173.3333333	504.6666667	729.6666667	977.3333333
