Geneid	Blood	1 hour	2 hours	4 hours	6 hours	10 hours
FRG1BP	11.6666666666667	65	173.666666666667	338.333333333333	290	224.668942495362
FRZB	0	4.66666666666667	6.66666666666667	8.33333333333333	10.6666666666667	4.87319857343374
FTCDNL1	0	11.3333333333333	31	33.6666666666667	39	12.9754157228604
FTSJ1	54	217.666666666667	497.666666666667	632	984.333333333333	912.944049115945
FTSJ3	153.333333333333	490.666666666667	1096	1293.66666666667	1794	1532.43674868136
FZD2	0.666666666666667	9.33333333333333	13.3333333333333	16	21	72.9303148824133
GAMT	6	36.6666666666667	77.6666666666667	105.333333333333	163.666666666667	165.215114206003
GAR1	16.6666666666667	113.333333333333	258.666666666667	318	505.333333333333	271.065429663082
GAS5	236.666666666667	1495	3383.33333333333	3935.66666666667	5971.33333333333	3651.25802048213
GATB	11	73.3333333333333	250.333333333333	307.333333333333	363	383.058479796119
GCFC2	11.6666666666667	70.6666666666667	190.666666666667	292.333333333333	287.666666666667	143.355422343531
GCN1	287	1250	3276.66666666667	3404	5113.33333333333	4872.68769400435
GDPGP1	2.66666666666667	14.3333333333333	42	41.3333333333333	66	68.9478317983267
GEMIN2	6	50	180.666666666667	226	321	139.534218386485
GEMIN4	28	93.3333333333333	243	273	442	482.573609882671
GEMIN6	5.33333333333333	28	88	108	179	129.037516462322
GHET1	0	4.66666666666667	4.66666666666667	5.66666666666667	8	11.6294774188693
GLCE	11	108.333333333333	352	446	539	343.702373894125
GLIS3	16.3333333333333	55.3333333333333	137.333333333333	265.666666666667	231	368.313655582695
GLRX3	50.6666666666667	285	728.666666666667	918.666666666667	1160.66666666667	1336.79786790226
GLRX5	57	196	390.333333333333	417	632	407.524833570538
GMNN	20	75	156	152.666666666667	263.666666666667	245.184136191426
GNL3	83.6666666666667	423.666666666667	1103	1474	1972.66666666667	2126.37051700823
GNPDA2	16	59.6666666666667	144.333333333333	204.666666666667	298.666666666667	118.446588108233
GOLGA6L9	2.33333333333333	20.3333333333333	51.6666666666667	44	66.3333333333333	40.8916888998699
GOLT1B	57.6666666666667	220	517	819.666666666667	1230	872.548381580759
GORAB	16.6666666666667	92	213.666666666667	267.333333333333	272.333333333333	242.175737142764
GPAM	15	152	567.666666666667	734	776	333.456779398467
GPATCH2	13	87.6666666666667	242.666666666667	383.333333333333	401	263.21959113834
GPR180	9.33333333333333	60	149	242	264.666666666667	321.814600567408
GPR89A	17	74.6666666666667	149.666666666667	218	299.333333333333	125.837321952764
GPX4	503	1664	3311.33333333333	4477.33333333333	6186.33333333333	8266.93497058187
GRHPR	60	278.666666666667	746	938.333333333333	1349.66666666667	1257.37515398308
GRPEL1	76	378.666666666667	874	1075.66666666667	1261.33333333333	1132.79283675335
GRSF1	99	407	1025	1315.33333333333	1656	1644.7331258578
GSS	41	239.333333333333	687	798.666666666667	1051.66666666667	991.540899080681
GSTCD	3.33333333333333	43	117.666666666667	182.666666666667	227	114.827592885816
GSTP1	84	481	1287.33333333333	1510	2293	2447.71524417527
GTF2H3	22	148.333333333333	449	643.333333333333	831	341.492358129544
GTF3C3	50	296.333333333333	792.666666666667	1205.33333333333	1245.66666666667	769.802225444186
HABP4	14.3333333333333	78.3333333333333	183	233.666666666667	262	377.792390402949
HACD2	66.6666666666667	411.666666666667	1170.33333333333	1592	1893.33333333333	1449.58979179248
HADH	30.3333333333333	261.333333333333	760.666666666667	1007.66666666667	1280.66666666667	981.964724743346
HAUS2	24	88	231.666666666667	298.666666666667	392.333333333333	300.375724119204
HCFC1	158	569.333333333333	1239	1473	1874.33333333333	3189.68609465583
HDAC11	20.3333333333333	98	258.333333333333	307.333333333333	478	660.68519309416
HDGF	907	2826	5929	8688	9529	8843.99174018201
HEATR1	44	346.666666666667	1035.66666666667	1520.33333333333	1781.66666666667	1053.75375548024
HESX1	0	3.33333333333333	5	10	13.3333333333333	5.16871282707995
HIP1R	164.666666666667	600	1222.66666666667	1260.33333333333	2152.66666666667	3928.27452947557
HLCS	22.3333333333333	156.333333333333	494.666666666667	684.333333333333	832.333333333333	635.852915603208
HLTF	27	234.666666666667	785	1194.33333333333	1387.66666666667	663.62606510917
HNRNPAB	113.666666666667	476	1266.66666666667	1512.66666666667	2296.66666666667	2249.52732458178
HOOK2	74	269	542	540.666666666667	755.333333333333	853.007891160114
HPRT1	35.6666666666667	157.333333333333	420.333333333333	607	780.333333333333	470.692137956229
HRAS	16.6666666666667	101.333333333333	214.333333333333	226	329.666666666667	419.876750641255
HSD17B10	40.6666666666667	145.333333333333	312.666666666667	349.333333333333	505	582.979472254432
HSF2BP	0	5.33333333333333	14	16	16.6666666666667	7.83786035639184
HSP90AB3P	0.666666666666667	10	28.3333333333333	52	50	8.7853013594925
HSPBP1	10	80	204	267	350	351.575043014798
HSPD1	460.666666666667	2016	5922.33333333333	7632	9328	7499.6427373173
HSPE1	6.66666666666667	59.6666666666667	209.333333333333	148.333333333333	346	172.946412670325
IARS2	177	824.333333333333	2379	2878.66666666667	3782.33333333333	3624.62991224243
IBTK	57.6666666666667	353	1042.66666666667	1392.66666666667	1750.33333333333	2318.12051443043
IDH3A	15	77.6666666666667	231.333333333333	306.666666666667	355.333333333333	344.373619344209
IER3IP1	7	37.6666666666667	99.6666666666667	105.333333333333	160	142.358100060612
IFT140	9.33333333333333	62.6666666666667	165.333333333333	176	248.666666666667	237.823517250656
IL20RB-AS1	0	5	16	14.6666666666667	17.6666666666667	6.64704849162282
IL23A	10.6666666666667	57	117.333333333333	131	111.666666666667	526.60946820767
IL31RA	0.666666666666667	8.66666666666667	25	43.3333333333333	57.3333333333333	39.1180829284366
ILVBL	21	88.3333333333333	166	171.666666666667	331.333333333333	395.877565268243
IMMP1L	4.33333333333333	24.3333333333333	61	74	103.333333333333	54.8162965618111
IMP4	56	257	644.333333333333	779.666666666667	1273.66666666667	1212.86325915578
IMPDH2	159.666666666667	576	1483	1925.33333333333	2861.33333333333	2544.468381114
INF2	75.3333333333333	556.666666666667	1561.33333333333	1842.33333333333	2609.66666666667	4059.73093122954
INTS2	26.3333333333333	132.333333333333	398	575	658.666666666667	404.228785023792
IPO5	82	579	1662.66666666667	2502.66666666667	2983.66666666667	2631.52802497436
IQCG	7	32.6666666666667	95.6666666666667	121.333333333333	144	265.591200781316
ITM2C	55	488	1321	1932.33333333333	2322.66666666667	2092.27983649407
JMJD4	3	28.6666666666667	60	66.3333333333333	95.6666666666667	100.614981303462
KCNMB3	2.66666666666667	21	46.3333333333333	44.6666666666667	105.666666666667	94.8488404479886
KCTD11	20	65.3333333333333	110	121.333333333333	185	430.773506752681
KDELR1	131	502	1414	2171.66666666667	2814	2791.76154688203
KDELR3	14	52.6666666666667	93.3333333333333	153.666666666667	201.333333333333	179.167489489865
KDM1A	89.3333333333333	430.333333333333	1067.66666666667	1426.66666666667	1694	1557.80160159923
KIF1BP	50	178.333333333333	400.333333333333	533.333333333333	520.333333333333	497.842140530626
KLF11	37.3333333333333	177.666666666667	294.666666666667	388	422.333333333333	546.062168975911
KLF4	144.666666666667	713.666666666667	1360	1765	1885.66666666667	2439.5704065997
KLF5	95	453	1066.66666666667	1889.33333333333	1609	1595.97857703562
KRT5	0	5.66666666666667	15	19.6666666666667	19.6666666666667	10.770404713551
KRT6C	0	7	12.3333333333333	34.3333333333333	12.3333333333333	3.64668319540639
LARS	131.333333333333	866.666666666667	2573	3451.33333333333	4105	1937.94200042698
LDHA	650.666666666667	1902.33333333333	4081.33333333333	6069.33333333333	7447.66666666667	13559.5737572415
LDHAP4	13	54.3333333333333	97	154.666666666667	182.333333333333	164.56396660093
LDHB	289.333333333333	1793.33333333333	4786.33333333333	6245	8288.66666666667	6930.48120140048
LETM1	54.3333333333333	402.666666666667	1195.66666666667	1325.33333333333	1930.66666666667	1790.48030296682
LINC00638	0	5.33333333333333	10.6666666666667	17.3333333333333	17.3333333333333	8.21019559443093
LINC00944	2	20.3333333333333	25.3333333333333	38.3333333333333	40.6666666666667	96.1122201094412
LINC01006	2	30.6666666666667	73.6666666666667	93	128	121.702632619058
LINC01184	8.66666666666667	65.6666666666667	197.666666666667	298.333333333333	322.333333333333	166.173101233194
LINC01285	0	19	50.3333333333333	83.6666666666667	70.3333333333333	2.57796043506983
LLGL2	57.3333333333333	549.333333333333	1421.66666666667	1351.33333333333	1872.66666666667	2390.42609531241
LMAN1	41.6666666666667	398.333333333333	1255	1955.33333333333	2868.66666666667	3093.78358067673
LRIT3	0	5.33333333333333	11.3333333333333	8.33333333333333	14.3333333333333	16.1529234656231
LRP8	12.6666666666667	48.6666666666667	111.666666666667	162.333333333333	331.666666666667	369.074196578
LRRC56	2.66666666666667	15	42	33.3333333333333	68.3333333333333	87.1108776190381
LRRFIP1P1	1.66666666666667	27.3333333333333	77.3333333333333	112.666666666667	110.666666666667	132.313795438606
LSM4	38.3333333333333	262	654	725	1145	989.33238572436
LSM5	16	94.3333333333333	200.666666666667	271.666666666667	356	205.594846768476
LSS	63	279.666666666667	764.333333333333	957	1200.66666666667	2897.18915101993
LTBP3	169.666666666667	1306.33333333333	3387	4624	6242	8373.83296981286
LTBP4	62.3333333333333	203.666666666667	392.333333333333	445.333333333333	620.333333333333	1191.11136214531
LTV1	18	113.333333333333	276.333333333333	380	453.666666666667	209.929595812479
LUZP1	70.6666666666667	257.333333333333	591.333333333333	847	863	1223.06612916999
LYPD6B	0	5.66666666666667	8.66666666666667	13.3333333333333	17.3333333333333	24.9493719615035
LYRM4	12.6666666666667	75	158.666666666667	249.666666666667	366.666666666667	415.34655236597
LZTS3	7.33333333333333	42	103	98.3333333333333	138	131.038342036249
MAGED1	31.6666666666667	164	445.666666666667	693.333333333333	1025	1329.42339669153
MAGI2	0	15.3333333333333	31.3333333333333	42	49.6666666666667	24.8819140268139
MAGIX	7.33333333333333	35.3333333333333	75.3333333333333	76	111.666666666667	123.183567405144
MAP3K4	66.3333333333333	207.666666666667	414	534	681.333333333333	522.431461918933
MAP4	175.666666666667	990.666666666667	3095.33333333333	4850.66666666667	4937.66666666667	5449.11580426902
MAP9	8	56.3333333333333	195.333333333333	278.666666666667	353.333333333333	222.994080319319
MAPT	5.66666666666667	19.6666666666667	49	59.6666666666667	95.3333333333333	54.7787081878935
MBTPS2	7.66666666666667	71.6666666666667	296.666666666667	400.333333333333	478.333333333333	288.46943505194
MCAT	12	82	113	111.333333333333	176.666666666667	221.711928116473
MCCC1	38	293.666666666667	772.666666666667	961.333333333333	1097.33333333333	1136.78333723227
MCFD2	234.333333333333	895.333333333333	2445.33333333333	3466.66666666667	4047	3790.73866094004
MCM3	70.3333333333333	246.666666666667	696.666666666667	925	1527.66666666667	1013.57646302212
MCTS2P	1.66666666666667	14.3333333333333	21.6666666666667	28	36.3333333333333	34.4049983992837
MDC1	98.6666666666667	373	779	1228.66666666667	1202.33333333333	870.005025712691
MDH2	167	592.333333333333	1488.33333333333	2089	2722	2410.62014532159
ME3	10	52.6666666666667	159.666666666667	221	346.333333333333	314.059647044626
MED19	19	59	151.333333333333	253	252.666666666667	288.711912972499
MEGF8	40	149.666666666667	332.333333333333	355.333333333333	503.333333333333	670.673970773984
MESP1	0	6.33333333333333	13.3333333333333	16	21.3333333333333	10.4334584180655
METAP1	109.333333333333	394.666666666667	1048	1368.66666666667	1642	1261.17931764616
METAP1D	14	67.6666666666667	169	193.666666666667	323.666666666667	128.276386905828
METTL15	11.6666666666667	56.3333333333333	151.333333333333	197.666666666667	229	184.451951376495
METTL16	61.3333333333333	334.333333333333	964.666666666667	1316	1437.33333333333	1545.65530924156
METTL5	18.6666666666667	112	299	386	569.666666666667	323.359690486878
MFGE8	53.3333333333333	295.666666666667	759.333333333333	1123	1588	2014.30845652039
MGMT	8	58.3333333333333	159.333333333333	200.666666666667	327.333333333333	402.488404486888
MICAL3	21.3333333333333	128.666666666667	332.666666666667	452.333333333333	507.666666666667	541.158726946653
MINPP1	6	35.3333333333333	184	216.333333333333	307.666666666667	255.865564029624
MIR100HG	0	5	18	29.6666666666667	44.3333333333333	3.35082099055812
MMAA	2	29.3333333333333	92.3333333333333	140.666666666667	180.333333333333	174.823121902351
MMACHC	2.66666666666667	30.3333333333333	74.3333333333333	120	154.666666666667	107.171093414713
MMP17	9.66666666666667	111	227	351.666666666667	412.666666666667	290.35563342349
MOB1B	28.6666666666667	155.666666666667	503.333333333333	885.333333333333	879	667.791468145307
MORC2	69	237.333333333333	641.333333333333	815	990.333333333333	956.790249576485
